Well_Name,2.0388886332511902E-4, 0.504653888870962, 1.0085455555235967, 1.5129927777452394, 2.016884444397874, 2.5199427777552046, 3.0255038888426498, 3.5299511110642925, 4.036064999992959, 4.539126111078076, 5.0424622222199105, 5.546076111088041, 6.050526111095678, 6.556642777752131, 7.0594372221967205, 7.561387222202029, 8.066392777720466, 8.571395555511117, 9.075289999949746, 9.580014999955893, 10.08612888888456, 10.591131666617002, 11.095855277730152, 11.601692222175188, 12.10558388888603, 12.611426944436971, 13.114485277736094, 13.620321944414172, 14.125324722204823, 14.631993333285209, 15.139776666648686, 15.644779444439337, 16.14922666666098, 16.65311555552762, 17.157562777749263, 17.662843333324417, 18.167568333330564, 18.6714599999832, 19.175351666635834, 19.680354444426484, 20.184801666648127, 20.689801666652784, 21.194804444443434, 21.700082222174387, 22.20702944439836, 22.71147666662, 23.216201666626148, 23.722034999984317, 24.227315555501264, 24.73342944442993, 25.238429444434587, 25.743987777736038, 26.25093499996001, 26.757601666613482, 27.26232666661963, 27.76732944441028, 28.27400166663574, 28.77817111107288, 29.283729444432538, 29.7890072222217, 30.29539888887666, 30.80067944439361, 31.307904444402084, 31.812348888837732, 32.318184999981895, 32.82235166663304, 33.3284655555035, 33.83291277772514, 34.3381905555143, 34.84347111108946, 35.350140555528924, 35.85625166661339, 36.36264333332656, 36.8665322221932, 37.37209055555286, 37.87653499998851, 38.379871111072134, 38.88376277772477, 39.38959611108294, 39.89709888887592, 40.40293222217588, 40.90821277775103, 41.41349333332619, 41.91960444441065, 42.424051666632295, 42.92877666663844, 43.434887777722906, 43.940446111082565, 44.44628222216852, 44.951837777742185, 45.456840555532835, 45.9623961111065, 46.46712111105444, 46.9723988888436, 47.478512777772266, 47.984901666641235, 48.488515555509366, 48.994348888867535, 49.499351666658185, 50.00601833331166, 50.51213222218212, 51.01713499997277, 51.52241277776193, 52.028248888847884, 52.53380444442155, 53.03825166664319, 53.543807222216856, 54.048532222164795, 54.55353222216945, 55.05909055552911, 55.56520444439957, 56.07020722219022, 56.57548499997938, 57.08048777777003, 57.585209999990184, 58.09021277772263, 58.59493499994278, 59.100215555517934, 59.605493333307095, 60.110501666611526, 60.61467111110687, 61.11967111105332, 61.62439611105947, 62.13023222220363, 62.63523222220829, 63.141901666647755, 63.64745722222142, 64.15245999995386, 64.65829611109802, 65.1649627777515, 
M09,0.073,0.073,0.07,0.072,0.07,0.071,0.074,0.071,0.073,0.075,0.076,0.075,0.077,0.08,0.082,0.084,0.087,0.084,0.089,0.098,0.097,0.109,0.118,0.124,0.135,0.147,0.147,0.177,0.178,0.223,0.22,0.251,0.312,0.36,0.352,0.453,0.503,0.511,0.537,0.497,0.56,0.566,0.584,0.583,0.596,0.533,0.541,0.541,0.61,0.609,0.556,0.617,0.62,0.629,0.625,0.574,0.634,0.635,0.638,0.64,0.646,0.644,0.657,0.658,0.653,0.602,0.669,0.612,0.61,0.615,0.618,0.62,0.685,0.626,0.691,0.692,0.695,0.641,0.697,0.64,0.648,0.712,0.709,0.715,0.714,0.723,0.662,0.729,0.73,0.727,0.734,0.739,0.736,0.739,0.691,0.747,0.748,0.75,0.748,0.756,0.765,0.762,0.765,0.713,0.77,0.771,0.777,0.721,0.777,0.787,0.785,0.726,0.791,0.798,0.74,0.791,0.737,0.799,0.749,0.804,0.807,0.748,0.809,0.81,0.814,0.816,0.816,0.818,0.758,0.763,
M10,0.077,0.074,0.071,0.074,0.071,0.072,0.075,0.073,0.073,0.076,0.077,0.076,0.078,0.082,0.083,0.085,0.088,0.085,0.089,0.096,0.096,0.106,0.114,0.121,0.131,0.139,0.142,0.166,0.168,0.202,0.208,0.234,0.285,0.329,0.329,0.404,0.436,0.447,0.473,0.452,0.49,0.496,0.507,0.509,0.519,0.481,0.489,0.491,0.529,0.53,0.504,0.541,0.541,0.55,0.549,0.522,0.558,0.562,0.562,0.567,0.57,0.57,0.582,0.581,0.577,0.549,0.593,0.56,0.563,0.568,0.571,0.573,0.609,0.58,0.617,0.619,0.623,0.597,0.626,0.597,0.604,0.642,0.641,0.646,0.646,0.651,0.618,0.658,0.658,0.659,0.662,0.664,0.664,0.673,0.641,0.677,0.678,0.679,0.68,0.686,0.694,0.686,0.692,0.66,0.701,0.7,0.703,0.673,0.709,0.711,0.71,0.675,0.713,0.718,0.685,0.719,0.687,0.725,0.694,0.729,0.734,0.699,0.736,0.731,0.739,0.74,0.74,0.74,0.707,0.713,
N09,0.074,0.073,0.071,0.073,0.072,0.073,0.076,0.075,0.075,0.078,0.079,0.079,0.083,0.088,0.09,0.093,0.098,0.1,0.106,0.116,0.121,0.139,0.152,0.169,0.188,0.212,0.226,0.264,0.287,0.339,0.364,0.405,0.476,0.54,0.57,0.615,0.638,0.655,0.661,0.643,0.671,0.675,0.681,0.688,0.694,0.679,0.685,0.688,0.707,0.708,0.696,0.714,0.713,0.721,0.72,0.705,0.727,0.722,0.728,0.73,0.738,0.736,0.742,0.74,0.744,0.729,0.749,0.742,0.742,0.745,0.747,0.748,0.767,0.76,0.778,0.78,0.782,0.772,0.792,0.782,0.784,0.802,0.803,0.81,0.811,0.816,0.806,0.822,0.824,0.823,0.831,0.833,0.833,0.839,0.831,0.843,0.849,0.853,0.855,0.859,0.857,0.861,0.864,0.855,0.866,0.873,0.877,0.862,0.879,0.88,0.886,0.871,0.89,0.891,0.88,0.892,0.885,0.9,0.891,0.905,0.909,0.898,0.908,0.911,0.913,0.91,0.911,0.917,0.9,0.907,
N10,0.077,0.076,0.077,0.075,0.074,0.075,0.076,0.077,0.076,0.077,0.077,0.079,0.081,0.081,0.082,0.084,0.088,0.09,0.093,0.095,0.098,0.101,0.104,0.108,0.11,0.112,0.128,0.125,0.133,0.129,0.138,0.14,0.138,0.141,0.149,0.163,0.178,0.199,0.228,0.232,0.266,0.296,0.32,0.335,0.358,0.337,0.346,0.355,0.402,0.409,0.388,0.431,0.437,0.452,0.456,0.429,0.476,0.479,0.484,0.491,0.501,0.501,0.51,0.511,0.516,0.495,0.526,0.506,0.511,0.518,0.524,0.526,0.556,0.537,0.565,0.569,0.57,0.554,0.578,0.56,0.566,0.591,0.592,0.599,0.6,0.605,0.586,0.613,0.616,0.615,0.624,0.624,0.627,0.629,0.609,0.635,0.639,0.643,0.647,0.646,0.658,0.658,0.657,0.636,0.66,0.665,0.67,0.646,0.673,0.678,0.678,0.651,0.683,0.685,0.663,0.688,0.667,0.695,0.673,0.697,0.702,0.679,0.705,0.705,0.712,0.707,0.71,0.719,0.689,0.692,
