Well_Name,-1.833331771194935E-5, 0.5044288889039308, 1.0074872222612612, 1.5127650000504218, 2.0163788889185525, 2.520267777785193, 3.024715000006836, 3.5299955555819906, 4.035273333371151, 4.538887222239282, 5.041390000027604, 5.545278888894245, 6.051392777822912, 6.5555622222600505, 7.058340000046883, 7.560842777835205, 8.06667888892116, 8.571123333356809, 9.07473722222494, 9.580573333369102, 10.085017777804751, 10.59057611116441, 11.09613444446586, 11.601134444470517, 12.10558166669216, 12.610309444484301, 13.113923333352432, 13.62003722222289, 14.126151111151557, 14.631706666667014, 15.139765000029001, 15.64393444446614, 16.148659444472287, 16.65282611112343, 17.156998333346564, 17.662001111137215, 18.16755666671088, 18.67117055557901, 19.17478444444714, 19.680898333375808, 20.18478722224245, 20.6897900000331, 21.194795555609744, 21.7006316666957, 22.206465000053868, 22.71146777778631, 23.216748333361465, 23.72258444444742, 24.227865000022575, 24.733423333382234, 25.23870388889918, 25.744540000043344, 26.25120944448281, 26.757045555568766, 27.26232611114392, 27.76816500001587, 28.273445555591024, 28.777615000028163, 29.28345111111412, 29.789290000044275, 30.295403888914734, 30.801517777785193, 31.309298333362676, 31.8129150000168, 32.31764000002295, 32.82180944446009, 33.32875666668406, 33.833201111119706, 34.33848166669486, 34.842928888916504, 35.351262222277, 35.85598722222494, 36.3618233333691, 36.86682333337376, 37.37182611116441, 37.87599833338754, 38.37933444447117, 38.88350388890831, 39.39017083338695, 39.89794944447931, 40.40239583334187, 40.90739750000648, 41.414348888909444, 41.919626666698605, 42.42351833335124, 42.928798888926394, 43.43407944450155, 43.941304444451816, 44.44574888894567, 44.95186277781613, 45.456310000037774, 45.962143333337735, 46.46686833334388, 46.97214888891904, 47.478537777788006, 47.984096111147664, 48.4877072222298, 48.99409888894297, 49.500490555597935, 50.00577111111488, 50.51105166669004, 51.017440555559006, 51.52216555556515, 52.02744611114031, 52.53328222222626, 53.03800722223241, 53.54328777780756, 54.048010000027716, 54.55301277781837, 55.05940444447333, 55.564685000048485, 56.06968777778093, 56.57496555557009, 57.08024611114524, 57.58497111115139, 58.089137777802534, 58.594140555593185, 59.09942111116834, 59.6049766666838, 60.10997944447445, 60.61442666669609, 61.11914888891624, 61.6249850000022, 62.12943222222384, 62.63609888893552, 63.14221277780598, 63.64693777781213, 64.15194055560278, 64.65777666668873, 65.16527944448171, 
M09,0.068,0.067,0.069,0.069,0.069,0.068,0.067,0.068,0.069,0.07,0.07,0.072,0.071,0.073,0.071,0.074,0.075,0.075,0.077,0.08,0.081,0.086,0.09,0.094,0.097,0.103,0.108,0.119,0.126,0.134,0.15,0.159,0.181,0.198,0.207,0.229,0.268,0.298,0.315,0.378,0.421,0.477,0.502,0.567,0.67,0.674,0.701,0.743,0.719,0.734,0.741,0.777,0.749,0.758,0.757,0.797,0.8,0.805,0.806,0.81,0.782,0.789,0.793,0.795,0.825,0.83,0.824,0.808,0.833,0.834,0.816,0.84,0.847,0.849,0.827,0.831,0.834,0.838,0.837,0.862,0.844,0.848,0.849,0.852,0.874,0.859,0.86,0.881,0.87,0.871,0.87,0.872,0.895,0.899,0.883,0.884,0.888,0.91,0.894,0.915,0.899,0.916,0.906,0.906,0.93,0.913,0.932,0.919,0.939,0.926,0.944,0.95,0.957,0.955,0.939,0.964,0.943,0.95,0.968,0.967,0.971,0.956,0.972,0.958,0.978,0.986,0.989,0.967,0.993,0.99,
M10,0.07,0.069,0.07,0.069,0.07,0.07,0.069,0.069,0.069,0.07,0.069,0.072,0.071,0.072,0.071,0.072,0.073,0.073,0.074,0.077,0.075,0.077,0.081,0.084,0.083,0.085,0.088,0.098,0.102,0.1,0.114,0.11,0.127,0.14,0.134,0.146,0.175,0.192,0.19,0.235,0.257,0.287,0.29,0.325,0.397,0.387,0.404,0.454,0.419,0.427,0.438,0.487,0.453,0.458,0.462,0.507,0.508,0.516,0.518,0.524,0.485,0.492,0.498,0.498,0.542,0.546,0.542,0.514,0.554,0.555,0.522,0.565,0.569,0.572,0.538,0.544,0.548,0.552,0.555,0.595,0.559,0.562,0.568,0.57,0.61,0.578,0.58,0.619,0.589,0.589,0.592,0.593,0.635,0.634,0.604,0.608,0.614,0.653,0.614,0.652,0.62,0.659,0.625,0.627,0.665,0.634,0.671,0.638,0.679,0.641,0.685,0.688,0.69,0.69,0.653,0.697,0.657,0.662,0.7,0.701,0.703,0.671,0.705,0.671,0.709,0.715,0.719,0.679,0.724,0.718,
N09,0.065,0.064,0.063,0.065,0.064,0.065,0.066,0.066,0.067,0.067,0.067,0.069,0.069,0.069,0.07,0.071,0.072,0.072,0.073,0.073,0.074,0.076,0.077,0.079,0.082,0.083,0.084,0.086,0.09,0.095,0.098,0.103,0.108,0.115,0.126,0.135,0.14,0.153,0.172,0.179,0.198,0.22,0.253,0.278,0.286,0.31,0.314,0.307,0.325,0.332,0.336,0.323,0.339,0.343,0.344,0.328,0.329,0.334,0.333,0.341,0.362,0.363,0.366,0.367,0.35,0.351,0.351,0.377,0.352,0.354,0.382,0.359,0.357,0.36,0.39,0.393,0.395,0.398,0.401,0.372,0.405,0.405,0.408,0.41,0.38,0.413,0.414,0.385,0.419,0.421,0.423,0.422,0.393,0.394,0.427,0.433,0.431,0.399,0.434,0.404,0.436,0.406,0.441,0.438,0.41,0.444,0.41,0.447,0.414,0.451,0.417,0.418,0.416,0.417,0.455,0.42,0.458,0.462,0.424,0.426,0.428,0.463,0.427,0.463,0.429,0.426,0.427,0.466,0.427,0.428,
N10,0.059,0.058,0.058,0.059,0.057,0.057,0.058,0.058,0.059,0.059,0.059,0.06,0.06,0.06,0.062,0.063,0.063,0.063,0.065,0.063,0.066,0.068,0.067,0.07,0.074,0.074,0.078,0.081,0.085,0.094,0.096,0.103,0.108,0.117,0.132,0.146,0.153,0.169,0.194,0.206,0.232,0.258,0.3,0.336,0.363,0.394,0.407,0.409,0.423,0.428,0.436,0.437,0.445,0.453,0.454,0.455,0.461,0.465,0.465,0.47,0.478,0.48,0.488,0.487,0.491,0.492,0.494,0.502,0.5,0.508,0.512,0.512,0.515,0.522,0.526,0.533,0.538,0.541,0.541,0.545,0.553,0.557,0.56,0.564,0.564,0.572,0.578,0.575,0.584,0.589,0.59,0.591,0.594,0.598,0.605,0.609,0.611,0.61,0.617,0.62,0.622,0.626,0.628,0.631,0.633,0.637,0.636,0.647,0.646,0.652,0.651,0.657,0.66,0.662,0.671,0.666,0.676,0.678,0.675,0.676,0.679,0.686,0.68,0.69,0.693,0.69,0.696,0.7,0.702,0.702,
