Well_Name,9.333336493000388E-5, 0.5042600000160746, 1.0106488888850436, 1.5175933333230205, 2.023982222250197, 2.529262777767144, 3.0350961111253127, 3.5417627777787857, 4.047873888921458, 4.554543333360925, 5.061487777798902, 5.568154444452375, 6.074546111107338, 6.581212777760811, 7.089546111121308, 7.594546111125965, 8.10232666664524, 8.609271111141425, 9.117048888874706, 9.623993333312683, 10.133160000026692, 10.640662777761463, 11.148162777768448, 11.654829444421921, 12.162054444430396, 12.66955444443738, 13.177610000013374, 13.685110000020359, 14.19261277775513, 14.698446111113299, 15.205951666692272, 15.713173888914753, 16.222065555572044, 16.729843333363533, 17.23873222223483, 17.744012777809985, 18.251235000032466, 18.758734999981243, 19.773459999996703, 20.2817933333572, 20.788737777795177, 21.296515555586666, 21.804573888890445, 22.311796111112926, 22.820129444473423, 23.328462777775712, 23.83513222221518, 24.341521111142356, 24.849298888875637, 25.357912777806632, 25.865968333324417, 26.37485999998171, 26.884304444422014, 27.393748888920527, 27.904026666656137, 28.411529444449116, 28.919862777809612, 29.936807222198695, 30.44542111112969, 31.460698888869956, 31.96764333336614, 32.475979444454424, 32.98486833332572, 33.492923888901714, 33.99903499998618, 34.507093333348166, 35.01431555557065, 35.52348222222645, 36.03070444444893, 36.53848500002641, 37.046262777759694, 37.55404333333718, 38.06320999999298, 38.572098888864275, 39.079046111088246, 39.586823888879735, 40.0934933333192, 40.60071555554168, 41.111271111120004, 41.6204405555618, 42.13016277778661, 42.6390544444439, 43.1473877778044, 43.65433500002837, 44.16239055554615, 45.179059999994934, 45.687671111139935, 46.19684055558173, 46.7043433333165, 47.21128777775448, 48.22934611112578, 48.73767944442807, 49.24518222222105, 49.75518222223036, 50.26351833331864, 50.771573888894636, 51.28018499998143, 51.788798888912424, 52.29741277778521, 52.80463500000769, 53.31296833330998, 53.822137777809985, 54.330471111112274, 54.837993333349004, 55.346326666651294, 55.85410472220974, 56.365493611141574, 56.87410472222837, 57.38327138888417, 57.89077138889115, 58.90966166666476, 59.41938472224865, 59.92771888891002, 60.43827527778922, 60.94855388888391, 61.457443611114286, 61.96689388889354, 62.47411611111602, 62.981616111123, 63.48967444442678, 63.99634111113846, 64.50550777779426, 65.01467722223606, 
M07,0.169,0.136,0.131,0.134,0.134,0.141,0.15,0.16,0.171,0.185,0.204,0.228,0.253,0.282,0.313,0.36,0.391,0.444,0.49,0.513,0.529,0.544,0.546,0.55,0.561,0.553,0.559,0.564,0.567,0.571,0.573,0.576,0.582,0.578,0.58,0.581,0.59,0.588,0.594,0.594,0.595,0.601,0.603,0.608,0.613,0.616,0.619,0.623,0.628,0.63,0.633,0.64,0.641,0.648,0.65,0.651,0.656,0.664,0.67,0.674,0.679,0.681,0.685,0.691,0.698,0.696,0.699,0.701,0.703,0.709,0.712,0.716,0.726,0.731,0.734,0.738,0.733,0.74,0.74,0.746,0.748,0.747,0.754,0.755,0.759,0.763,0.775,0.78,0.773,0.777,0.778,0.786,0.784,0.786,0.786,0.788,0.792,0.792,0.795,0.794,0.796,0.795,0.802,0.803,0.807,0.805,0.809,0.807,0.81,0.814,0.828,0.832,0.824,0.822,0.837,0.824,0.831,0.834,0.837,0.836,0.84,0.841,0.858,
M08,0.131,0.131,0.128,0.132,0.134,0.142,0.15,0.159,0.174,0.189,0.21,0.234,0.262,0.295,0.325,0.351,0.406,0.45,0.506,0.559,0.596,0.592,0.603,0.636,0.621,0.642,0.646,0.648,0.652,0.656,0.655,0.661,0.641,0.663,0.669,0.67,0.648,0.673,0.676,0.678,0.678,0.685,0.686,0.689,0.693,0.693,0.693,0.694,0.698,0.701,0.703,0.707,0.709,0.715,0.716,0.72,0.725,0.731,0.734,0.74,0.742,0.745,0.747,0.747,0.732,0.755,0.756,0.757,0.758,0.764,0.768,0.767,0.757,0.757,0.763,0.768,0.781,0.79,0.791,0.796,0.8,0.801,0.803,0.807,0.811,0.817,0.799,0.806,0.827,0.828,0.832,0.838,0.842,0.844,0.843,0.847,0.848,0.854,0.858,0.862,0.868,0.864,0.87,0.873,0.873,0.871,0.874,0.876,0.878,0.88,0.861,0.868,0.89,0.889,0.875,0.892,0.897,0.901,0.904,0.901,0.906,0.909,0.887,
N07,0.131,0.11,0.111,0.11,0.112,0.116,0.121,0.127,0.137,0.149,0.163,0.177,0.194,0.218,0.24,0.278,0.303,0.338,0.373,0.415,0.47,0.512,0.531,0.549,0.562,0.568,0.575,0.578,0.577,0.581,0.585,0.586,0.592,0.594,0.595,0.597,0.603,0.604,0.607,0.612,0.614,0.618,0.619,0.625,0.629,0.632,0.637,0.638,0.645,0.651,0.656,0.661,0.664,0.669,0.676,0.68,0.688,0.697,0.704,0.71,0.718,0.717,0.724,0.728,0.743,0.741,0.746,0.747,0.754,0.759,0.767,0.772,0.789,0.79,0.797,0.803,0.792,0.801,0.801,0.805,0.807,0.813,0.818,0.823,0.828,0.833,0.845,0.85,0.838,0.843,0.846,0.851,0.853,0.854,0.854,0.86,0.863,0.872,0.877,0.879,0.882,0.881,0.882,0.884,0.888,0.891,0.888,0.889,0.897,0.894,0.913,0.921,0.915,0.911,0.938,0.926,0.948,0.938,0.931,0.938,0.942,0.943,0.958,
N08,0.168,0.153,0.155,0.159,0.161,0.172,0.186,0.198,0.215,0.236,0.265,0.295,0.329,0.355,0.395,0.451,0.485,0.54,0.583,0.62,0.637,0.669,0.672,0.661,0.683,0.67,0.68,0.682,0.682,0.685,0.689,0.69,0.704,0.692,0.697,0.699,0.713,0.705,0.704,0.706,0.707,0.706,0.709,0.712,0.714,0.719,0.722,0.72,0.724,0.729,0.728,0.729,0.732,0.737,0.737,0.741,0.746,0.748,0.754,0.758,0.761,0.759,0.766,0.767,0.784,0.775,0.775,0.774,0.781,0.782,0.785,0.79,0.809,0.814,0.811,0.814,0.797,0.805,0.806,0.812,0.81,0.811,0.819,0.819,0.82,0.825,0.845,0.852,0.832,0.836,0.84,0.846,0.85,0.85,0.85,0.854,0.854,0.861,0.865,0.865,0.867,0.865,0.872,0.871,0.875,0.876,0.878,0.878,0.882,0.881,0.902,0.906,0.89,0.888,0.911,0.894,0.891,0.895,0.897,0.898,0.898,0.899,0.917,
