Well_Name,1.8222222570329905E-4, 0.5054600000148639, 1.5149072222411633, 2.02185166667914, 2.527407222252805, 3.032687777769752, 3.5374099999899045, 4.043798888917081, 4.549079444434028, 5.5588044444448315, 6.063804444449488, 6.569360000023153, 7.075473888893612, 7.581862777762581, 8.086587777768727, 8.592143333342392, 9.097423888917547, 9.6021461111377, 10.10770444443915, 10.613815555581823, 11.119926944433246, 11.625204722222406, 12.130204722227063, 12.63631666667061, 13.143539722252171, 13.650488611136097, 14.157711944484618, 14.665212500025518, 15.171880000038072, 15.677436666679569, 16.183271388930734, 16.688832777785137, 17.195502222224604, 17.70050222222926, 18.207724444451742, 18.7138383333222, 19.219393888895866, 19.725227500020992, 20.23217194445897, 20.737172222230583, 21.243284444441088, 21.750507777789608, 22.257731111138128, 22.763843333348632, 23.271344722248614, 23.776346111146268, 24.282458888890687, 24.787737777805887, 25.295243333326653, 25.80302250001114, 26.30969027779065, 26.814691666688304, 27.32080388889881, 27.826360555540305, 28.333583888888825, 28.840529166685883, 29.346641388896387, 29.85442083334783, 30.360811111109797, 30.868034722225275, 31.374147222260945, 31.88109305559192, 32.3888722222182, 32.896095833333675, 33.4035969444667, 33.91054277779767, 34.416934722219594, 34.92388055555057, 35.42943722225027, 35.934715833340306, 36.44166166667128, 36.948607500002254, 37.45555305556627, 37.9638874999946, 38.47111083334312, 39.486113333376125, 39.99278166668955, 40.49917194445152, 41.51278527779505, 42.02167527779238, 42.52806555555435, 43.03445583337452, 43.54112361109583, 44.04806916665984, 44.556125833361875, 45.063904999988154, 45.57140611112118, 46.077796111116186, 46.584186111111194, 47.092242777813226, 47.598632777808234, 48.10474500001874, 48.611690555582754, 49.11780277779326, 49.6269705555751, 50.13391638890607, 50.64002861111658, 51.146975000039674, 51.655309444468, 52.16281055554282, 52.66920027777087, 53.17586805555038, 53.68364694446791, 54.19142583332723, 54.69837111112429, 55.20559444447281, 56.22059638891369, 56.72837527777301, 57.23587666667299, 57.744488888885826, 58.25115666666534, 58.75782444444485, 59.26449222222436, 59.771159722236916, 60.78532805555733, 61.29199583333684, 61.80060916667571, 62.30755472223973, 62.81394444446778, 63.321445555542596, 63.82839111110661, 64.33644777780864, 64.84200444445014, 65.34950555558316, 
K21,0.121,0.121,0.124,0.127,0.132,0.136,0.142,0.151,0.16,0.19,0.207,0.231,0.258,0.29,0.326,0.358,0.392,0.43,0.47,0.531,0.582,0.621,0.651,0.673,0.685,0.697,0.701,0.703,0.708,0.711,0.713,0.714,0.716,0.722,0.719,0.722,0.723,0.725,0.729,0.728,0.731,0.733,0.736,0.736,0.741,0.743,0.744,0.748,0.746,0.752,0.753,0.756,0.756,0.761,0.764,0.765,0.77,0.771,0.775,0.779,0.78,0.784,0.79,0.794,0.797,0.8,0.805,0.807,0.81,0.815,0.817,0.819,0.822,0.824,0.827,0.833,0.835,0.832,0.844,0.846,0.847,0.849,0.853,0.853,0.862,0.863,0.863,0.866,0.869,0.87,0.872,0.878,0.877,0.882,0.88,0.882,0.886,0.887,0.89,0.892,0.89,0.896,0.9,0.902,0.9,0.91,0.91,0.912,0.913,0.917,0.915,0.92,0.923,0.924,0.926,0.925,0.915,0.93,0.928,0.934,0.932,0.936,0.934,0.933,
K22,0.093,0.092,0.091,0.092,0.094,0.096,0.099,0.104,0.106,0.115,0.121,0.127,0.135,0.143,0.157,0.169,0.185,0.203,0.227,0.25,0.274,0.303,0.342,0.376,0.424,0.473,0.508,0.534,0.556,0.58,0.587,0.591,0.602,0.602,0.607,0.608,0.61,0.62,0.623,0.622,0.624,0.627,0.63,0.631,0.636,0.642,0.641,0.647,0.65,0.651,0.653,0.659,0.661,0.668,0.665,0.67,0.671,0.68,0.68,0.683,0.686,0.69,0.695,0.7,0.704,0.707,0.71,0.711,0.717,0.717,0.721,0.724,0.727,0.729,0.731,0.737,0.742,0.744,0.748,0.753,0.753,0.757,0.758,0.758,0.768,0.77,0.774,0.773,0.77,0.777,0.78,0.787,0.783,0.791,0.79,0.796,0.8,0.8,0.803,0.803,0.803,0.806,0.809,0.815,0.811,0.817,0.819,0.823,0.824,0.824,0.823,0.83,0.836,0.837,0.838,0.837,0.837,0.842,0.842,0.847,0.848,0.849,0.849,0.848,
L21,0.093,0.089,0.089,0.09,0.092,0.089,0.091,0.092,0.093,0.101,0.101,0.106,0.109,0.114,0.124,0.132,0.14,0.152,0.164,0.182,0.198,0.22,0.242,0.267,0.294,0.32,0.351,0.391,0.42,0.444,0.46,0.471,0.484,0.496,0.502,0.508,0.508,0.518,0.523,0.522,0.526,0.53,0.534,0.538,0.547,0.547,0.549,0.551,0.552,0.561,0.56,0.563,0.568,0.57,0.575,0.575,0.575,0.578,0.581,0.585,0.589,0.593,0.597,0.604,0.603,0.61,0.61,0.615,0.617,0.621,0.623,0.624,0.631,0.635,0.639,0.641,0.647,0.646,0.651,0.651,0.656,0.655,0.66,0.667,0.67,0.671,0.677,0.678,0.68,0.681,0.678,0.687,0.684,0.692,0.693,0.691,0.696,0.694,0.701,0.697,0.7,0.702,0.706,0.713,0.709,0.712,0.716,0.718,0.716,0.718,0.72,0.72,0.72,0.728,0.731,0.731,0.694,0.729,0.73,0.736,0.736,0.737,0.735,0.74,
L22,0.192,0.196,0.182,0.193,0.228,0.256,0.245,0.254,0.267,0.304,0.33,0.357,0.39,0.416,0.455,0.485,0.533,0.586,0.649,0.724,0.803,0.863,0.904,0.934,0.955,0.955,0.958,0.971,0.968,0.974,0.98,0.977,0.98,0.98,0.981,0.983,0.977,0.977,0.982,0.986,0.976,0.986,0.983,0.98,0.989,0.993,0.992,0.993,0.993,0.991,0.991,0.994,0.994,0.998,0.995,0.997,1.004,0.999,1.006,1.004,1.009,1.01,1.013,1.009,1.01,1.019,1.013,1.018,1.024,1.025,1.015,1.023,1.021,1.023,1.026,1.036,1.036,1.034,1.044,1.036,1.033,1.037,1.046,1.046,1.051,1.054,1.052,1.053,1.053,1.058,1.067,1.061,1.065,1.072,1.068,1.073,1.07,1.073,1.079,1.077,1.082,1.086,1.091,1.09,1.092,1.097,1.103,1.103,1.113,1.108,1.118,1.112,1.12,1.121,1.125,1.122,1.133,1.13,1.133,1.142,1.136,1.141,1.14,1.138,
