Well_Name,2.0388886332511902E-4, 0.504653888870962, 1.0085455555235967, 1.5129927777452394, 2.016884444397874, 2.5199427777552046, 3.0255038888426498, 3.5299511110642925, 4.036064999992959, 4.539126111078076, 5.0424622222199105, 5.546076111088041, 6.050526111095678, 6.556642777752131, 7.0594372221967205, 7.561387222202029, 8.066392777720466, 8.571395555511117, 9.075289999949746, 9.580014999955893, 10.08612888888456, 10.591131666617002, 11.095855277730152, 11.601692222175188, 12.10558388888603, 12.611426944436971, 13.114485277736094, 13.620321944414172, 14.125324722204823, 14.631993333285209, 15.139776666648686, 15.644779444439337, 16.14922666666098, 16.65311555552762, 17.157562777749263, 17.662843333324417, 18.167568333330564, 18.6714599999832, 19.175351666635834, 19.680354444426484, 20.184801666648127, 20.689801666652784, 21.194804444443434, 21.700082222174387, 22.20702944439836, 22.71147666662, 23.216201666626148, 23.722034999984317, 24.227315555501264, 24.73342944442993, 25.238429444434587, 25.743987777736038, 26.25093499996001, 26.757601666613482, 27.26232666661963, 27.76732944441028, 28.27400166663574, 28.77817111107288, 29.283729444432538, 29.7890072222217, 30.29539888887666, 30.80067944439361, 31.307904444402084, 31.812348888837732, 32.318184999981895, 32.82235166663304, 33.3284655555035, 33.83291277772514, 34.3381905555143, 34.84347111108946, 35.350140555528924, 35.85625166661339, 36.36264333332656, 36.8665322221932, 37.37209055555286, 37.87653499998851, 38.379871111072134, 38.88376277772477, 39.38959611108294, 39.89709888887592, 40.40293222217588, 40.90821277775103, 41.41349333332619, 41.91960444441065, 42.424051666632295, 42.92877666663844, 43.434887777722906, 43.940446111082565, 44.44628222216852, 44.951837777742185, 45.456840555532835, 45.9623961111065, 46.46712111105444, 46.9723988888436, 47.478512777772266, 47.984901666641235, 48.488515555509366, 48.994348888867535, 49.499351666658185, 50.00601833331166, 50.51213222218212, 51.01713499997277, 51.52241277776193, 52.028248888847884, 52.53380444442155, 53.03825166664319, 53.543807222216856, 54.048532222164795, 54.55353222216945, 55.05909055552911, 55.56520444439957, 56.07020722219022, 56.57548499997938, 57.08048777777003, 57.585209999990184, 58.09021277772263, 58.59493499994278, 59.100215555517934, 59.605493333307095, 60.110501666611526, 60.61467111110687, 61.11967111105332, 61.62439611105947, 62.13023222220363, 62.63523222220829, 63.141901666647755, 63.64745722222142, 64.15245999995386, 64.65829611109802, 65.1649627777515, 
M19,0.095,0.094,0.089,0.09,0.091,0.094,0.097,0.099,0.103,0.108,0.114,0.122,0.132,0.144,0.158,0.174,0.195,0.218,0.246,0.284,0.314,0.359,0.403,0.457,0.499,0.523,0.54,0.561,0.566,0.574,0.574,0.576,0.587,0.594,0.588,0.598,0.598,0.599,0.602,0.596,0.607,0.611,0.612,0.611,0.616,0.612,0.615,0.618,0.626,0.628,0.626,0.632,0.638,0.641,0.642,0.642,0.65,0.654,0.658,0.659,0.668,0.664,0.673,0.674,0.676,0.672,0.683,0.679,0.681,0.688,0.69,0.694,0.703,0.7,0.71,0.711,0.718,0.714,0.723,0.721,0.725,0.734,0.735,0.739,0.743,0.746,0.741,0.755,0.753,0.756,0.76,0.763,0.769,0.772,0.767,0.778,0.78,0.782,0.785,0.791,0.793,0.795,0.797,0.796,0.806,0.811,0.815,0.806,0.818,0.824,0.823,0.82,0.831,0.831,0.828,0.832,0.828,0.84,0.831,0.837,0.844,0.838,0.848,0.85,0.854,0.858,0.856,0.859,0.855,0.86,
M20,0.109,0.1,0.095,0.097,0.097,0.101,0.106,0.108,0.113,0.12,0.129,0.137,0.15,0.167,0.184,0.203,0.229,0.25,0.278,0.319,0.356,0.404,0.457,0.509,0.543,0.566,0.57,0.593,0.591,0.61,0.603,0.606,0.621,0.629,0.614,0.632,0.635,0.635,0.634,0.624,0.642,0.646,0.649,0.647,0.653,0.639,0.647,0.645,0.667,0.664,0.653,0.665,0.671,0.677,0.675,0.67,0.684,0.686,0.687,0.691,0.697,0.697,0.703,0.706,0.708,0.701,0.711,0.707,0.713,0.715,0.718,0.724,0.734,0.732,0.742,0.743,0.75,0.747,0.756,0.752,0.757,0.767,0.766,0.774,0.775,0.778,0.77,0.787,0.788,0.788,0.794,0.796,0.801,0.803,0.801,0.81,0.808,0.814,0.816,0.822,0.823,0.827,0.83,0.828,0.842,0.843,0.842,0.84,0.846,0.852,0.853,0.852,0.862,0.863,0.863,0.868,0.866,0.874,0.87,0.875,0.879,0.879,0.888,0.89,0.892,0.895,0.892,0.895,0.894,0.897,
N19,0.104,0.096,0.094,0.095,0.097,0.1,0.103,0.107,0.113,0.12,0.129,0.139,0.153,0.166,0.189,0.211,0.239,0.265,0.296,0.337,0.368,0.417,0.47,0.509,0.532,0.549,0.565,0.575,0.583,0.589,0.601,0.601,0.603,0.609,0.613,0.615,0.615,0.615,0.621,0.623,0.622,0.626,0.628,0.631,0.635,0.645,0.648,0.653,0.65,0.652,0.661,0.66,0.661,0.667,0.671,0.681,0.678,0.681,0.683,0.685,0.691,0.693,0.699,0.703,0.706,0.713,0.714,0.724,0.727,0.731,0.735,0.736,0.736,0.747,0.743,0.752,0.75,0.761,0.758,0.774,0.772,0.767,0.77,0.775,0.777,0.782,0.789,0.786,0.793,0.792,0.798,0.799,0.805,0.808,0.821,0.816,0.817,0.819,0.824,0.828,0.831,0.83,0.833,0.847,0.842,0.849,0.849,0.864,0.855,0.857,0.858,0.873,0.862,0.861,0.878,0.863,0.881,0.87,0.89,0.88,0.88,0.896,0.888,0.886,0.888,0.887,0.889,0.892,0.911,0.916,
N20,0.101,0.1,0.1,0.1,0.106,0.107,0.11,0.118,0.131,0.13,0.136,0.149,0.158,0.165,0.174,0.183,0.196,0.22,0.232,0.237,0.271,0.267,0.287,0.309,0.333,0.353,0.4,0.381,0.414,0.387,0.42,0.425,0.392,0.387,0.42,0.388,0.383,0.383,0.381,0.418,0.384,0.384,0.386,0.388,0.385,0.432,0.43,0.434,0.396,0.394,0.44,0.403,0.408,0.409,0.417,0.454,0.418,0.422,0.423,0.428,0.429,0.432,0.437,0.44,0.442,0.479,0.448,0.485,0.491,0.492,0.493,0.493,0.465,0.5,0.474,0.478,0.477,0.511,0.485,0.518,0.518,0.487,0.49,0.494,0.496,0.5,0.531,0.505,0.507,0.507,0.511,0.511,0.515,0.521,0.55,0.524,0.528,0.529,0.528,0.532,0.536,0.53,0.533,0.56,0.538,0.542,0.541,0.57,0.548,0.549,0.547,0.578,0.554,0.555,0.58,0.555,0.581,0.56,0.582,0.561,0.563,0.582,0.562,0.566,0.569,0.57,0.571,0.574,0.6,0.604,
